segment	t	x	y
0	0	0	0
0	0.1	10	0.792339
0	0.2	20	3.33793
0	0.3	30	7.32995
0	0.4	40	12.4616
0	0.5	50	18.4259
0	0.6	60	24.9162
0	0.7	70	31.6256
0	0.8	80	38.2473
0	0.9	90	44.4743
1	0	100	50
1	0.1	110	53.4089
1	0.2	120	53.893
1	0.3	130	52.0569
1	0.4	140	48.5047
1	0.5	150	43.8409
1	0.6	160	38.6698
1	0.7	170	33.5958
1	0.8	180	29.2233
1	0.9	190	26.1565
2	0	200	25
2	0.1	205	25.2582
2	0.2	210	25.8068
2	0.3	215	26.3071
2	0.4	220	26.4204
2	0.5	225	25.8078
2	0.6	230	24.1306
2	0.7	235	21.05
2	0.8	240	16.2272
2	0.9	245	9.32348
